City,Magnitude,MMI,CDI,Latitude,Longitude,Time,Year,Month,Day
"3km NNE of Niland, CA",4.56,,,33.2601667,-115.505,17:26:46,1950,07,28
"5km SSE of Calipatria, CA",4.59,,,33.0871667,-115.487,03:25:28,1950,07,28
"5 km W of Calipatria, California",4.7,,,33.117,-115.567,18:43:00,1950,07,29
"2km WNW of Calipatria, CA",4.49,,,33.1305,-115.5398333,18:42:43,1950,07,29
"8km W of Calipatria, CA",4.16,,,33.1203333,-115.5965,17:14:12,1950,07,29
"11km WSW of Niland, CA",4.3,,,33.1935,-115.6238333,15:08:56,1950,07,29
"7km NW of Westmorland, CA",5.42,,,33.0883333,-115.6636667,14:36:31,1950,07,29
"2km N of Westmorland, CA",4.3,,,33.0561667,-115.6233333,00:17:07,1950,07,29
"15km S of Bombay Beach, CA",4.7,,,33.2146667,-115.7236667,08:37:21,1950,08,01
"7km NNE of Big Bear City, CA",4.08,,,34.3158333,-116.805,02:17:16,1950,08,12
"12km NE of Santa Cruz Is. (E end), CA",4.11,,,34.1198333,-119.44,22:47:57,1950,08,22
"7km NNE of Big Bear City, CA",4.02,,,34.3201667,-116.8146667,19:45:26,1950,08,28
"19km NE of Barstow, CA",4.07,,,35.024,-116.8845,16:59:06,1950,08,30
"2km SE of Idyllwild, CA",4.76,,,33.726,-116.6973333,19:19:56,1950,09,05
"23km ESE of Primo Tapia, B.C., MX",4.21,,,32.1376667,-116.6911667,19:43:28,1950,09,17
"37 km W of Austin, Nevada",4.5,,,39.5,-117.5,08:12:46,1950,10,23
"43km ESE of San Clemente Is. (SE tip), CA",4.34,,,32.6228333,-117.9456667,20:55:44,1950,11,06
"26km ESE of Estacion Coahuila, B.C., MX",4.11,,,32.0808333,-114.758,05:04:49,1950,12,07
"15km SSW of Bakersfield, CA",4.27,,,35.2318333,-119.0801667,13:56:20,1950,12,14
"1 km SW of Glenbrook, Nevada",4.8,,,39.08,-119.95,15:14:53,1951,01,22
"14km WNW of Tecolots, B.C., MX",5.95,7.652,,32.622,-115.1191667,07:16:52,1951,01,24
"15km W of Progreso, B.C., MX",4.02,,,32.5753333,-115.748,17:46:34,1951,02,13
"19km W of Imperial, CA",4.08,,,32.8675,-115.773,17:16:01,1951,02,13
"21km SE of Anza, CA",4.58,,,33.4516667,-116.4886667,10:49:57,1951,02,15
"11km SE of Anza, CA",4.71,,,33.4816667,-116.6011667,10:48:00,1951,02,15
"104km SW of Los Osos, CA",4.27,,,34.75,-121.75,01:31:01,1951,03,04
"15km N of Ocotillo Wells, CA",4.3,,,33.2758333,-116.1245,23:39:30,1951,03,29
"20 km NW of Sonoita, Mexico",4.5,,,32.0,-113.0,06:20:10,1951,04,12
"44km WNW of Beatty, NV",4.43,,,37.0728333,-117.202,05:52:55,1951,06,16
"76km ESE of Maneadero, B.C., MX",4.01,,,31.4348333,-115.8396667,01:21:41,1951,06,21
"16km NW of Inyokern, CA",4.42,,,35.7351667,-117.9556667,19:45:41,1951,06,25
"15km NW of Inyokern, CA",4.18,,,35.7496667,-117.9271667,01:26:39,1951,06,26
"21 km NE of Soledad, California",5.0,,,36.583,-121.183,10:53:45,1951,07,29
"21 km SSE of Tres Pinos, California",4.9,,,36.617,-121.217,09:05:02,1951,08,06
"5km NNW of Westmorland, CA",4.26,,,33.0773333,-115.6458333,11:30:06,1951,08,10
"40km WSW of Primo Tapia, B.C., MX",4.69,,,32.0195,-117.275,16:27:45,1951,09,02
"25km NW of Hawthorne, NV",4.18,,,38.6711667,-118.8385,18:48:31,1951,09,09
"2km SSE of Muscoy, CA",4.14,,,34.137,-117.3313333,08:22:38,1951,09,22
"5 km NNW of Hollister, California",4.8,,,36.9,-121.417,20:58:19,1951,10,31
"13km WNW of Ocotillo, CA",4.07,,,32.7966667,-116.1058333,23:54:59,1951,11,14
"7km WNW of Westmorland, CA",4.34,,,33.0671667,-115.6875,15:53:17,1951,12,05
"11km NNE of San Clemente Is. (SE tip), CA",5.75,,,32.9161667,-118.3051667,00:46:54,1951,12,26
"36km NNE of Dixon Lane-Meadow Creek, CA",4.96,,,37.665,-118.198,02:49:26,1951,12,28
"13km ENE of Desert Hot Springs, CA",4.36,,,33.9878333,-116.3608333,06:34:27,1952,01,08
"18km E of Lone Pine, CA",4.02,,,36.6181667,-117.8705,08:43:30,1952,02,09
"4km WSW of San Clemente Is. (SE tip), CA",4.61,,,32.8071667,-118.381,15:13:34,1952,02,13
"5km SE of Loma Linda, CA",4.39,,,34.0141667,-117.222,12:36:58,1952,02,17
"3km S of Guadalupe Victoria, B.C., MX",4.4,,,32.2638333,-115.1083333,22:11:00,1952,03,16
"25km S of Alberto Oviedo Mota, B.C., MX",4.02,,,32.0045,-115.1993333,19:59:12,1952,03,16
"14km ESE of Ocotillo Wells, CA",4.03,,,33.107,-115.9898333,01:16:21,1952,03,28
"12 km SSE of Reno, Nevada",5.1,,,39.42,-119.78,15:31:32,1952,05,09
"39km ENE of Boulder City, NV",4.78,,,36.1561667,-114.4613333,04:15:12,1952,05,24
"5km WNW of Grapevine, CA",4.41,,,34.9686667,-118.9795,23:53:28,1952,07,21
"23km ENE of Arvin, CA",4.02,,,35.3181667,-118.6126667,22:03:12,1952,07,21
"6km NW of Frazier Park, CA",4.28,,,34.8645,-118.9845,21:53:08,1952,07,21
"13km NNW of Tehachapi, CA",4.09,,,35.2351667,-118.5116667,20:21:05,1952,07,21
"11km SSE of Arvin, CA",5.19,,,35.1153333,-118.792,19:41:22,1952,07,21
"15km N of Tehachapi, CA",4.21,,,35.2615,-118.424,19:16:19,1952,07,21
"13km NNW of Tehachapi, CA",4.17,,,35.2433333,-118.5023333,19:12:07,1952,07,21
"26km NE of Arvin, CA",4.05,,,35.3465,-118.597,18:26:28,1952,07,21
"16km N of Tehachapi, CA",4.4,,,35.2746667,-118.46,18:23:39,1952,07,21
"9km ESE of Arvin, CA",4.6,,,35.1743333,-118.7375,18:00:25,1952,07,21
"18km N of Tehachapi, CA",4.66,,,35.2915,-118.4773333,17:42:44,1952,07,21
"4km NNE of Grapevine, CA",4.52,,,34.974,-118.9135,16:38:40,1952,07,21
"13km NNW of Grapevine, CA",4.05,,,35.0403333,-119.0075,16:17:00,1952,07,21
"4km NW of Grapevine, CA",4.42,,,34.9676667,-118.9656667,15:53:04,1952,07,21
"19km NNW of Tehachapi, CA",4.24,,,35.2991667,-118.5068333,15:42:35,1952,07,21
"10km WNW of Grapevine, CA",4.48,,,34.9843333,-119.0238333,15:38:02,1952,07,21
"3km ENE of Lamont, CA",4.33,,,35.266,-118.8865,15:36:15,1952,07,21
"26km NE of Arvin, CA",4.19,,,35.3463333,-118.6036667,15:34:02,1952,07,21
"12km WNW of Tehachapi, CA",4.93,,,35.1871667,-118.5636667,15:13:58,1952,07,21
"17km SW of Tehachapi, CA",4.18,,,35.0178333,-118.5683333,14:51:38,1952,07,21
"22km NNW of Tehachapi, CA",4.26,,,35.2963333,-118.5743333,14:42:37,1952,07,21
"4km NNE of Grapevine, CA",4.1,,,34.9776667,-118.9156667,14:17:52,1952,07,21
"5km NNE of Frazier Park, CA",4.35,,,34.8685,-118.9266667,14:15:13,1952,07,21
"9km NW of Grapevine, CA",4.03,,,35.0,-119.0,14:06:20,1952,07,21
"16km S of Arvin, CA",4.88,,,35.069,-118.85,13:59:55,1952,07,21
"13km WNW of Grapevine, CA",4.03,,,34.9908333,-119.0648333,13:38:36,1952,07,21
"2km ESE of Tehachapi, CA",4.19,,,35.1266667,-118.4315,13:35:57,1952,07,21
"5km E of Grapevine, CA",4.35,,,34.9356667,-118.8768333,13:25:12,1952,07,21
"12km NE of Grapevine, CA",4.18,,,35.0255,-118.849,13:17:00,1952,07,21
"8km NW of Grapevine, CA",4.51,,,34.997,-118.981,13:13:05,1952,07,21
"15km ESE of Arvin, CA",4.06,,,35.1525,-118.6836667,13:11:05,1952,07,21
"10km NNW of Grapevine, CA",4.39,,,35.0275,-118.9533333,13:08:00,1952,07,21
"17km E of Arvin, CA",4.42,,,35.1876667,-118.6441667,12:59:37,1952,07,21
"7 km SSW of Mettler, California",4.9,,,35.0,-119.0,12:40:00,1952,07,21
"21km WSW of Tehachapi, CA",4.26,,,35.0493333,-118.6613333,12:39:11,1952,07,21
"12km SSE of Arvin, CA",4.27,,,35.1,-118.8,12:39:00,1952,07,21
"12km SSE of Arvin, CA",4.29,,,35.1,-118.8,12:28:00,1952,07,21
"2km NW of Lebec, CA",4.73,,,34.8536667,-118.879,12:25:19,1952,07,21
"5km SW of Tehachapi, CA",5.18,,,35.1,-118.48,12:22:01,1952,07,21
"12km NE of Grapevine, CA",5.2,,,35.0198333,-118.8301667,12:19:36,1952,07,21
"13km WSW of Tehachapi, CA",4.17,,,35.089,-118.5853333,12:18:08,1952,07,21
"12km SSE of Arvin, CA",4.75,,,35.1,-118.8,12:12:00,1952,07,21
"12km SSE of Arvin, CA",4.53,,,35.1,-118.8,12:10:00,1952,07,21
"9km NW of Grapevine, CA",5.18,,,35.0,-119.0,12:07:00,1952,07,21
"9km NW of Grapevine, CA",5.4,,,35.0,-119.0,12:06:00,1952,07,21
"13km WNW of Grapevine, CA",5.8,7.131,,34.9731667,-119.0661667,12:05:31,1952,07,21
"9km NW of Grapevine, CA",4.31,,,35.0,-119.0,12:02:00,1952,07,21
"11km NW of Grapevine, CA",4.5,,,35.0,-119.0333333,11:59:00,1952,07,21
"11km NW of Grapevine, CA",4.6,,,35.0,-119.0333333,11:58:00,1952,07,21
"11km NW of Grapevine, CA",4.5,,,35.0,-119.0333333,11:57:00,1952,07,21
"9 km SW of Mettler, California",4.5,,,35.0,-119.033,11:55:00,1952,07,21
"11km NW of Grapevine, CA",4.5,,,35.0,-119.0333333,11:54:00,1952,07,21
"6km WNW of Grapevine, CA",7.5,9.026,9.0,34.9581667,-118.998,11:52:14,1952,07,21
"3km NE of Grapevine, CA",4.64,,,34.9618333,-118.9083333,22:31:33,1952,07,22
"10km S of Arvin, CA",4.12,,,35.1181667,-118.8171667,21:02:09,1952,07,22
"5km NE of Tehachapi, CA",4.0,,,35.1625,-118.4123333,19:10:21,1952,07,22
"9km NNW of Tehachapi, CA",4.32,,,35.2096667,-118.4768333,19:08:58,1952,07,22
"17km NW of Grapevine, CA",4.09,,,35.0313333,-119.0815,17:52:34,1952,07,22
"16km NW of Tehachapi, CA",4.31,,,35.25,-118.5573333,15:03:14,1952,07,22
"8km NW of Frazier Park, CA",4.13,,,34.8746667,-119.008,14:30:18,1952,07,22
"11km NNW of Grapevine, CA",4.03,,,35.0355,-118.9678333,14:05:10,1952,07,22
"5km WSW of Grapevine, CA",4.71,,,34.926,-118.9803333,13:31:42,1952,07,22
"12km NW of Grapevine, CA",4.02,,,35.0025,-119.036,10:19:38,1952,07,22
"17km NW of Tehachapi, CA",4.42,,,35.2363333,-118.5838333,09:10:24,1952,07,22
"16km SSE of Arvin, CA",4.64,,,35.0791667,-118.7656667,08:47:33,1952,07,22
"9km NNW of Grapevine, CA",4.2,,,35.0168333,-118.9801667,08:21:21,1952,07,22
"16km W of Tehachapi, CA",4.36,,,35.1235,-118.6223333,08:16:22,1952,07,22
"6km N of Lebec, CA",4.02,,,34.8916667,-118.8676667,07:44:54,1952,07,22
"17km NW of Tehachapi, CA",4.42,,,35.2366667,-118.5856667,03:21:04,1952,07,22
"16km NNW of Tehachapi, CA",4.45,,,35.2721667,-118.4988333,01:51:51,1952,07,22
"2km WNW of Tehachapi, CA",4.49,,,35.1416667,-118.4668333,01:41:02,1952,07,22
"10km NNE of Grapevine, CA",4.05,,,35.0326667,-118.896,22:32:19,1952,07,23
"10km N of Grapevine, CA",4.03,,,35.035,-118.9383333,21:16:58,1952,07,23
"22km NNW of Tehachapi, CA",4.15,,,35.3255,-118.5211667,19:51:33,1952,07,23
"6km N of Grapevine, CA",5.13,6.1,,34.996,-118.9301667,18:13:50,1952,07,23
"22km N of Tehachapi, CA",4.03,,,35.3318333,-118.4843333,18:03:28,1952,07,23
"15km NW of Grapevine, CA",4.09,,,35.0503333,-119.0271667,17:53:28,1952,07,23
"20km N of Tehachapi, CA",4.49,,,35.3128333,-118.4483333,17:22:24,1952,07,23
"26km NE of Arvin, CA",4.44,,,35.3453333,-118.5921667,16:48:52,1952,07,23
"19km NNW of Tehachapi, CA",4.43,,,35.284,-118.5418333,16:18:38,1952,07,23
"16km NNW of Tehachapi, CA",4.5,,,35.2666667,-118.4975,13:30:03,1952,07,23
"6km SSE of Arvin, CA",5.51,7.042,,35.1656667,-118.7993333,13:17:05,1952,07,23
"18km NNE of Tehachapi, CA",4.11,,,35.2836667,-118.398,10:54:13,1952,07,23
"16km N of Tehachapi, CA",4.31,,,35.2698333,-118.473,09:38:42,1952,07,23
"13km ENE of Grapevine, CA",5.55,6.949,,34.9881667,-118.8031667,07:53:18,1952,07,23
"16km NNW of Tehachapi, CA",4.78,5.3,,35.264,-118.5273333,07:37:00,1952,07,23
"23km SW of Bodfish, CA",4.22,,,35.432,-118.6561667,06:53:41,1952,07,23
"25km S of Bodfish, CA",4.16,,,35.3621667,-118.5281667,06:26:28,1952,07,23
"14km N of Tehachapi, CA",4.17,,,35.2596667,-118.4445,06:10:45,1952,07,23
"25km NNW of Tehachapi, CA",4.58,5.11,,35.3383333,-118.5593333,05:46:03,1952,07,23
"25km NNW of Tehachapi, CA",4.81,5.44,,35.3416667,-118.5546667,04:01:39,1952,07,23
"17km NNW of Tehachapi, CA",4.26,,,35.2828333,-118.4966667,03:49:27,1952,07,23
"26km NE of Arvin, CA",5.07,,,35.3776667,-118.6278333,03:19:22,1952,07,23
"24km SW of Bodfish, CA",4.62,,,35.4073333,-118.6436667,00:47:36,1952,07,23
"1km NNE of Grapevine, CA",4.34,,,34.9496667,-118.928,00:43:08,1952,07,23
"25km SSW of Bodfish, CA",5.43,,,35.372,-118.5653333,00:38:31,1952,07,23
"14km NW of Tehachapi, CA",4.26,,,35.2331667,-118.5378333,17:35:05,1952,07,24
"19km N of Tehachapi, CA",4.29,,,35.3001667,-118.4828333,14:05:26,1952,07,24
"17km N of Tehachapi, CA",4.09,,,35.286,-118.461,12:07:57,1952,07,24
"22km SSW of Bodfish, CA",4.25,,,35.4088333,-118.5888333,11:47:55,1952,07,24
"4km SSE of Grapevine, CA",4.45,,,34.912,-118.9125,09:50:33,1952,07,24
"21km N of Tehachapi, CA",4.33,,,35.321,-118.4125,05:02:50,1952,07,24
"18km SSW of Lamont, CA",4.08,,,35.1128333,-118.997,03:11:06,1952,07,24
"16km NNW of Tehachapi, CA",4.06,,,35.2655,-118.5125,02:41:43,1952,07,24
"22km N of Tehachapi, CA",4.74,5.45,,35.3301667,-118.4225,20:06:06,1952,07,25
"19km N of Tehachapi, CA",5.62,6.401,,35.3041667,-118.4678333,19:43:23,1952,07,25
"22km N of Tehachapi, CA",5.55,6.412,,35.332,-118.4628333,19:09:45,1952,07,25
"14km SSE of Arvin, CA",4.42,,,35.1031667,-118.749,14:34:42,1952,07,25
"21km N of Tehachapi, CA",4.93,5.32,,35.316,-118.4808333,13:13:08,1952,07,25
"21km SW of Bodfish, CA",4.23,,,35.445,-118.6433333,07:03:50,1952,07,25
"9km SW of Arvin, CA",4.1,,,35.1551667,-118.903,01:46:55,1952,07,25
"14km NW of Tehachapi, CA",4.07,,,35.2248333,-118.5616667,00:03:45,1952,07,25
"23km NNW of Tehachapi, CA",4.3,,,35.3216667,-118.546,22:58:55,1952,07,26
"16km WNW of Tehachapi, CA",4.54,,,35.179,-118.62,22:41:02,1952,07,26
"12km SSE of Arvin, CA",4.05,,,35.1136667,-118.7643333,18:02:43,1952,07,26
"21km SE of Arvin, CA",4.43,,,35.059,-118.6891667,15:08:30,1952,07,26
"21km N of Tehachapi, CA",4.3,,,35.3156667,-118.4873333,09:22:07,1952,07,26
"18km WNW of Tehachapi, CA",4.07,,,35.1975,-118.627,06:38:49,1952,07,26
"18km N of Tehachapi, CA",4.09,,,35.2975,-118.4713333,01:02:20,1952,07,26
"20km NW of Grapevine, CA",4.04,,,35.0903333,-119.0601667,11:34:38,1952,07,27
"27km NE of Arvin, CA",4.06,,,35.3616667,-118.5991667,07:35:39,1952,07,27
"23km E of Maricopa, CA",4.09,,,35.0656667,-119.1468333,07:16:09,1952,07,27
"10km SSW of Bodfish, CA",4.05,,,35.5051667,-118.5263333,02:49:11,1952,07,27
"21km N of Tehachapi, CA",4.2,,,35.319,-118.4695,00:09:16,1952,07,27
"0km S of Tehachapi, CA",4.11,,,35.1301667,-118.4488333,05:45:54,1952,07,28
"5km ESE of Bakersfield, CA",4.57,6.03,,35.3458333,-118.9771667,19:51:31,1952,07,29
"15km NNW of Tehachapi, CA",4.43,,,35.2435,-118.5383333,17:36:42,1952,07,29
"15km WNW of Tehachapi, CA",4.78,5.46,,35.1888333,-118.5956667,15:49:50,1952,07,29
"18km NNE of Lamont, CA",5.19,6.22,,35.4026667,-118.8203333,08:01:45,1952,07,29
"11km NE of Lamont, CA",4.01,,,35.3375,-118.8403333,07:13:58,1952,07,29
"11km N of Lamont, CA",5.72,7.139,,35.3568333,-118.8948333,07:03:46,1952,07,29
"16km NW of Tehachapi, CA",4.07,,,35.243,-118.5611667,14:46:49,1952,07,30
"9km SW of Grapevine, CA",4.13,,,34.8923333,-119.0106667,11:02:55,1952,07,30
"22km NNW of Tehachapi, CA",4.21,,,35.3136667,-118.5478333,09:59:28,1952,07,30
"1km ESE of Bakersfield, CA",4.7,6.05,,35.352,-119.0178333,19:53:13,1952,07,31
"18km NNW of Tehachapi, CA",4.64,5.07,,35.283,-118.5286667,17:19:08,1952,07,31
"14km NNW of Tehachapi, CA",5.64,6.673,,35.2488333,-118.4966667,12:09:09,1952,07,31
"20km NNW of Tehachapi, CA",4.27,,,35.2851667,-118.5661667,04:10:21,1952,07,31
"18km N of Tehachapi, CA",4.04,,,35.2953333,-118.456,21:35:22,1952,08,01
"7km SW of Grapevine, CA",4.92,5.37,,34.9045,-118.9963333,13:04:29,1952,08,01
"19km N of Tehachapi, CA",4.54,,,35.3015,-118.4758333,03:16:11,1952,08,01
"25km N of Tehachapi, CA",4.03,,,35.3593333,-118.4381667,01:51:56,1952,08,03
"11km NNW of Grapevine, CA",4.0,,,35.0261667,-118.9868333,19:47:52,1952,08,04
"16km NE of Lamont, CA",4.32,,,35.3758333,-118.8011667,06:50:09,1952,08,05
"20km NNW of Tehachapi, CA",4.26,,,35.309,-118.4981667,03:46:23,1952,08,06
"9km NNE of Lamont, CA",4.19,,,35.3423333,-118.8901667,19:19:07,1952,08,07
"19km NW of Grapevine, CA",5.03,5.98,,35.045,-119.0936667,16:31:50,1952,08,07
"19km N of Tehachapi, CA",4.19,,,35.2978333,-118.4748333,10:07:31,1952,08,09
"11km NW of Grapevine, CA",4.21,,,35.012,-119.0185,19:44:23,1952,08,10
"21km N of Tehachapi, CA",4.59,5.2,,35.318,-118.4478333,12:23:16,1952,08,10
"25km SSW of Bodfish, CA",4.43,,,35.3736667,-118.5711667,13:21:48,1952,08,11
"16km NNW of Tehachapi, CA",4.16,,,35.2613333,-118.5335,21:25:48,1952,08,13
"19km SE of Arvin, CA",4.68,5.59,,35.0893333,-118.681,17:39:25,1952,08,13
"17km N of Tehachapi, CA",4.63,5.45,,35.2865,-118.4268333,04:29:39,1952,08,13
"11km NNE of Grapevine, CA",4.1,,,35.033,-118.8813333,11:41:46,1952,08,14
"6km WSW of Tehachapi, CA",4.27,,,35.1198333,-118.518,07:28:21,1952,08,14
"11km NE of Grapevine, CA",4.17,,,35.027,-118.8585,21:04:41,1952,08,17
"10km NNW of Grapevine, CA",4.0,,,35.028,-118.972,09:09:06,1952,08,17
"17km NW of Grapevine, CA",4.7,5.74,,35.0353333,-119.0768333,04:40:10,1952,08,18
"15km ESE of Maricopa, CA",4.42,,,35.0203333,-119.2405,19:12:26,1952,08,19
"9km WSW of Grapevine, CA",4.26,,,34.8971667,-119.0141667,08:47:46,1952,08,20
"7km E of Bakersfield, CA",5.52,7.014,,35.3516667,-118.954,22:41:23,1952,08,22
"5km NNE of Acton, CA",4.75,5.55,,34.5081667,-118.1741667,10:09:06,1952,08,23
"18km ENE of Grapevine, CA",4.28,,,35.0153333,-118.7513333,06:03:02,1952,08,23
"13km N of Grapevine, CA",4.66,5.79,,35.0575,-118.9516667,06:20:26,1952,08,25
"9km SSE of Tehachapi, CA",4.48,,,35.058,-118.4103333,20:56:41,1952,08,26
"21km N of Tehachapi, CA",4.71,5.18,,35.3181667,-118.4825,04:55:59,1952,08,30
"6km ENE of Lamont, CA",4.01,,,35.2731667,-118.8466667,10:39:00,1952,09,01
"7km SW of Grapevine, CA",4.7,5.18,,34.9086667,-118.989,20:45:56,1952,09,02
"20km NNW of Tehachapi, CA",4.04,,,35.2981667,-118.5391667,16:38:08,1952,09,02
"19km SE of Arvin, CA",4.61,5.44,,35.0681667,-118.7025,12:41:32,1952,09,02
"19km N of Tehachapi, CA",4.43,,,35.3005,-118.463,18:06:49,1952,09,04
"15km WNW of Grapevine, CA",4.43,,,34.9821667,-119.0836667,10:35:24,1952,09,12
"26km NE of Arvin, CA",4.32,,,35.345,-118.5973333,15:21:06,1952,09,16
"13km NNE of Grapevine, CA",4.03,,,35.0558333,-118.8891667,16:21:35,1952,09,25
"16km W of Tehachapi, CA",4.04,,,35.1235,-118.6191667,20:21:20,1952,09,26
"24km SW of Bodfish, CA",4.13,,,35.4313333,-118.675,23:10:19,1952,10,02
"181km WSW of Cambria, CA",4.72,,,34.9635,-122.9338333,14:45:52,1952,10,09
"13km NNE of Lamont, CA",4.02,,,35.3616667,-118.8416667,22:20:35,1952,10,13
"3km WNW of Grapevine, CA",4.35,,,34.9523333,-118.9656667,12:22:06,1952,10,16
"18km N of Tehachapi, CA",4.26,,,35.2911667,-118.4798333,18:14:43,1952,10,20
"13km NW of Grapevine, CA",4.0,,,35.0273333,-119.0353333,09:42:37,1952,11,07
"14km NNE of Pine Mountain Club, CA",4.53,5.16,,34.9641667,-119.0995,08:55:35,1952,11,07
"9km W of Grapevine, CA",4.05,,,34.9446667,-119.0303333,18:12:24,1952,11,11
"17km SW of Lamont, CA",4.12,,,35.133,-119.0268333,17:22:07,1952,11,11
"11 km ESE of Hawthorne, Nevada",4.8,,,38.5,-118.5,00:55:16,1952,11,13
"13km NNW of Grapevine, CA",4.02,,,35.051,-118.9796667,23:34:00,1952,11,14
"13km NNW of Cambria, CA",4.16,,,35.6685,-121.1466667,13:37:32,1952,11,22
"28km NW of Cambria, CA",6.2,7.473,,35.7231667,-121.3278333,07:46:36,1952,11,22
"19km NW of Lake Nacimiento, CA",4.16,,,35.828,-121.0521667,21:59:17,1952,11,25
"4km SW of Grapevine, CA",4.09,,,34.9236667,-118.9626667,15:36:41,1952,11,27
"8km ENE of Grapevine, CA",4.41,,,34.9791667,-118.8568333,05:26:09,1952,12,01
"25km N of Tehachapi, CA",4.05,,,35.3558333,-118.4796667,05:56:33,1952,12,25
"21km NNW of Tehachapi, CA",4.03,,,35.317,-118.515,08:13:22,1953,01,20
"21km SW of Cambria, CA",4.3,,,35.413,-121.2116667,14:50:12,1953,02,03
"21km NE of Warner Springs, CA",4.27,,,33.4215,-116.4861667,04:36:14,1953,02,04
"21km NNW of Tehachapi, CA",4.41,,,35.3008333,-118.5511667,08:12:06,1953,02,19
"12 km S of South Lake Tahoe, California",5.0,,,38.817,-119.983,05:19:00,1953,03,22
"10km N of Grapevine, CA",4.04,,,35.0318333,-118.925,17:06:36,1953,03,23
"20km ENE of Mammoth Lakes, CA",4.16,,,37.6976667,-118.7598333,05:11:43,1953,04,10
"20km ENE of Grapevine, CA",4.69,5.34,,34.9901667,-118.7198333,12:47:45,1953,04,29
"17km N of Pine Mountain Club, CA",4.16,,,34.9978333,-119.1418333,07:52:54,1953,05,23
"11km WNW of Grapevine, CA",4.77,5.46,,34.9708333,-119.0485,03:24:00,1953,05,25
"16km SSW of Avenal, CA",4.15,,,35.8623333,-120.1728333,03:51:18,1953,05,28
"21km WSW of Progreso, B.C., MX",4.18,,,32.4791667,-115.7755,04:51:50,1953,06,14
"22km SE of Desert Center, CA",4.8,5.65,,33.567,-115.2511667,04:30:01,1953,06,14
"8km NE of Imperial, CA",5.47,7.36,,32.8923333,-115.5043333,04:17:26,1953,06,14
"21km S of Bodfish, CA",4.3,,,35.3961667,-118.5126667,23:18:51,1953,06,20
"20km NNW of San Miguel, CA",4.46,,,35.9158333,-120.7836667,15:22:32,1953,06,22
"16km WNW of Grapevine, CA",4.19,,,35.0068333,-119.0868333,12:20:59,1953,08,05
"19km NW of Grapevine, CA",4.29,,,35.064,-119.0771667,11:20:03,1953,08,06
"12 km S of Caliente, Nevada",4.5,,,37.5,-114.5,22:00:02,1953,08,09
"39km E of Twentynine Palms, CA",4.11,,,34.0748333,-115.655,20:50:45,1953,09,11
"15km NNE of Lamont, CA",4.02,,,35.374,-118.8318333,06:41:16,1953,09,12
"11km ENE of Grapevine, CA",4.7,5.85,,34.9961667,-118.8283333,14:59:21,1953,10,07
"139km SE of Maneadero, B.C., MX",5.14,,,30.906,-115.4501667,18:49:43,1953,10,10
"30km NE of Dixon Lane-Meadow Creek, CA",4.03,,,37.6031667,-118.2028333,07:35:46,1953,10,30
"14km S of Bodfish, CA",4.33,,,35.461,-118.4915,20:39:01,1953,11,23
"16km ENE of Julian, CA",4.22,,,33.1086667,-116.4355,13:39:06,1953,11,23
"43km E of Trona, CA",4.79,5.94,,35.7943333,-116.8993333,05:46:06,1953,11,24
"23km NNW of Tehachapi, CA",4.09,,,35.3261667,-118.528,16:19:12,1953,11,26
"2km SW of Arvin, CA",4.64,5.96,,35.1976667,-118.8478333,12:44:35,1953,12,15
"11km NNE of Ocotillo Wells, CA",4.09,,,33.242,-116.097,23:31:52,1954,01,04
"21km NW of Grapevine, CA",4.06,,,35.0536667,-119.1163333,23:40:37,1954,01,12
"13km WNW of Grapevine, CA",5.4,6.22,,34.9823333,-119.0613333,23:33:48,1954,01,12
"18km NW of Grapevine, CA",4.6,5.64,,35.0365,-119.0866667,01:45:31,1954,01,13
"12km W of Tehachapi, CA",4.96,6.07,,35.143,-118.5856667,14:19:48,1954,01,27
"107km ESE of Estacion Coahuila, B.C., MX",5.36,6.93,,31.7188333,-114.0115,13:05:10,1954,02,01
"9km E of Mexicali, B.C., MX",4.41,,,32.6571667,-115.3766667,05:10:08,1954,02,01
"39km SE of San Luis Rio Colorado, Son., MX",4.02,,,32.2,-114.5,05:07:37,1954,02,01
"50km SE of San Luis Rio Colorado, Son., MX",5.66,7.289,,32.1946667,-114.3516667,04:31:48,1954,02,01
"36km SE of San Luis Rio Colorado, Son., MX",5.21,6.66,,32.2028333,-114.5545,04:23:45,1954,02,01
"18km NW of Grapevine, CA",4.56,5.72,,35.0446667,-119.082,00:09:53,1954,02,07
"10km NNE of Pine Mountain Club, CA",4.61,5.26,,34.9296667,-119.0988333,23:58:38,1954,02,10
"10km NW of Borrego Springs, CA",4.5,,,33.3216667,-116.4478333,09:44:27,1954,02,12
"17km NW of Grapevine, CA",4.67,5.99,,35.0596667,-119.049,22:30:22,1954,02,24
"10km N of Ocotillo Wells, CA",4.01,,,33.2333333,-116.1343333,14:00:57,1954,03,19
"12km ENE of Ocotillo Wells, CA",4.24,,,33.1883333,-116.0196667,13:08:02,1954,03,19
"8km NNE of Ocotillo Wells, CA",5.48,7.14,,33.2095,-116.0976667,10:21:16,1954,03,19
"13km NNE of Ocotillo Wells, CA",4.48,,,33.2515,-116.0845,10:19:55,1954,03,19
"12km NNW of Ocotillo Wells, CA",4.47,,,33.2505,-116.1685,10:15:22,1954,03,19
"8km NW of Ocotillo Wells, CA",4.09,,,33.1993333,-116.186,10:01:39,1954,03,19
